m,coco,coco_pct
1,25.0,0.0
12,26.0,0.0
5,7.0,0.002
11,9.0,0.003
2,4.0,0.052
6,9.0,0.0
2,2.0,0.686
4,17.0,0.001
5,27.0,0.0
9,3.0,0.113
2,17.0,0.007
8,17.0,0.001
10,26.0,0.0
10,9.0,0.002
3,26.0,0.0
5,26.0,0.0
8,5.0,0.0
2,1.0,0.071
9,17.0,0.002
7,9.0,0.0
2,3.0,0.142
12,5.0,0.0
1,5.0,0.0
1,17.0,0.006
1,4.0,0.045
9,1.0,0.11
3,25.0,0.0
11,1.0,0.049
8,2.0,0.651
10,1.0,0.053
10,25.0,0.002
12,17.0,0.002
12,3.0,0.187
9,25.0,0.001
11,8.0,0.009
12,27.0,0.0
5,4.0,0.072
12,9.0,0.0
6,1.0,0.047
4,26.0,0.0
7,17.0,0.002
9,8.0,0.0
5,2.0,0.525
7,26.0,0.0
12,1.0,0.061
2,25.0,0.0
10,8.0,0.003
5,17.0,0.0
11,18.0,0.136
8,1.0,0.093
4,3.0,0.28
7,2.0,0.608
5,5.0,0.0
7,4.0,0.041
8,4.0,0.038
5,18.0,0.008
8,9.0,0.0
5,25.0,0.0
3,5.0,0.001
9,27.0,0.0
9,7.0,0.004
6,27.0,0.001
3,3.0,0.156
5,9.0,0.0
11,25.0,0.001
9,4.0,0.029
10,4.0,0.036
12,2.0,0.618
4,9.0,0.0
1,1.0,0.063
4,7.0,0.0
9,5.0,0.0
1,9.0,0.0
6,18.0,0.041
4,5.0,0.0
9,9.0,0.0
9,18.0,0.042
2,8.0,0.001
2,18.0,0.037
6,25.0,0.001
10,2.0,0.58
4,1.0,0.033
1,3.0,0.143
10,18.0,0.116
1,2.0,0.649
7,5.0,0.0
4,4.0,0.055
1,18.0,0.064
12,8.0,0.003
1,7.0,0.022
6,17.0,0.001
6,7.0,0.002
8,7.0,0.002
4,8.0,0.0
1,27.0,0.0
12,18.0,0.075
7,8.0,0.001
3,18.0,0.035
3,8.0,0.001
10,7.0,0.01
4,25.0,0.0
11,26.0,0.0
4,18.0,0.011
8,26.0,0.0
6,8.0,0.0
6,3.0,0.311
9,2.0,0.699
11,2.0,0.537
1,8.0,0.008
11,5.0,0.0
2,5.0,0.0
6,2.0,0.538
10,17.0,0.003
3,4.0,0.041
7,3.0,0.215
12,7.0,0.015
7,1.0,0.058
8,18.0,0.075
2,7.0,0.004
7,7.0,0.003
2,9.0,0.0
7,18.0,0.071
2,27.0,0.0
1,26.0,0.0
3,17.0,0.003
11,4.0,0.044
6,4.0,0.054
8,27.0,0.0
6,26.0,0.0
11,17.0,0.006
10,3.0,0.196
12,4.0,0.04
3,9.0,0.0
7,25.0,0.001
7,27.0,0.0
12,25.0,0.0
5,3.0,0.357
3,7.0,0.003
8,25.0,0.0
11,3.0,0.194
9,26.0,0.0
5,1.0,0.035
10,5.0,0.0
11,27.0,0.0
5,8.0,0.0
3,2.0,0.709
8,8.0,0.0
4,2.0,0.619
4,27.0,0.0
3,27.0,0.0
2,26.0,0.0
10,27.0,0.0
11,7.0,0.02
3,1.0,0.051
8,3.0,0.14
6,5.0,0.004
