m,m3,coco,coco_pct
11,1,26.0,0.0
3,1,18.0,0.015
1,3,18.0,0.012
5,1,17.0,0.033
12,2,7.0,0.049
8,1,2.0,0.131
4,2,2.0,0.149
3,1,7.0,0.057
11,3,18.0,0.033
5,1,9.0,0.044
9,3,9.0,0.008
8,2,9.0,0.003
9,2,2.0,0.164
5,3,5.0,0.018
10,3,7.0,0.011
4,3,2.0,0.132
7,3,5.0,0.006
9,3,8.0,0.014
10,1,7.0,0.005
8,2,7.0,0.006
2,3,9.0,0.046
10,1,3.0,0.225
8,2,5.0,0.022
4,3,18.0,0.0
3,3,1.0,0.398
4,3,5.0,0.056
11,1,1.0,0.462
11,2,26.0,0.0
1,1,26.0,0.0
1,1,8.0,0.054
2,1,9.0,0.0
11,1,9.0,0.036
1,1,18.0,0.016
7,3,26.0,0.0
6,2,3.0,0.276
8,2,1.0,0.723
11,1,17.0,0.022
5,3,8.0,0.007
8,1,17.0,0.008
9,1,9.0,0.024
6,3,18.0,0.001
12,1,2.0,0.063
6,2,5.0,0.003
3,2,18.0,0.004
8,3,2.0,0.203
12,1,3.0,0.409
1,2,1.0,0.194
7,2,18.0,0.0
6,1,3.0,0.283
1,2,14.0,0.0
4,3,26.0,0.0
12,3,3.0,0.246
6,1,18.0,0.0
7,3,9.0,0.0
10,3,2.0,0.114
8,2,3.0,0.086
3,3,3.0,0.281
9,1,7.0,0.017
3,1,5.0,0.061
4,2,1.0,0.336
1,1,25.0,0.002
11,3,25.0,0.0
6,3,8.0,0.001
10,2,7.0,0.02
7,2,17.0,0.003
12,2,14.0,0.0
12,2,18.0,0.011
7,3,2.0,0.037
1,2,17.0,0.024
4,1,14.0,0.0
2,2,3.0,0.246
7,3,1.0,0.941
11,2,5.0,0.118
6,2,14.0,0.0
9,3,26.0,0.001
4,1,17.0,0.037
4,2,7.0,0.031
5,2,14.0,0.0
11,2,8.0,0.096
7,2,5.0,0.012
3,1,14.0,0.0
9,1,18.0,0.003
12,1,18.0,0.018
10,2,17.0,0.015
2,1,2.0,0.13
9,3,5.0,0.052
10,3,5.0,0.16
5,2,9.0,0.037
11,1,8.0,0.028
8,3,7.0,0.003
12,1,26.0,0.0
10,3,8.0,0.009
11,2,2.0,0.099
8,3,17.0,0.034
5,2,8.0,0.014
10,1,8.0,0.014
12,3,8.0,0.019
2,2,26.0,0.0
6,1,2.0,0.203
8,3,8.0,0.001
6,2,18.0,0.004
5,3,9.0,0.004
4,1,18.0,0.004
3,2,2.0,0.124
9,1,1.0,0.449
11,3,17.0,0.063
12,2,8.0,0.051
7,3,7.0,0.0
10,3,18.0,0.001
7,2,25.0,0.0
11,1,5.0,0.087
2,3,5.0,0.089
2,2,8.0,0.027
3,3,17.0,0.037
4,1,8.0,0.035
2,2,17.0,0.031
12,3,1.0,0.261
2,2,9.0,0.012
1,2,26.0,0.0
3,1,8.0,0.051
6,2,2.0,0.178
3,3,18.0,0.002
8,3,14.0,0.0
5,2,5.0,0.058
3,3,5.0,0.062
9,3,7.0,0.009
10,2,9.0,0.03
8,1,26.0,0.0
6,1,26.0,0.0
2,3,14.0,0.0
9,2,26.0,0.0
7,1,5.0,0.002
8,1,14.0,0.0
3,2,3.0,0.284
11,3,9.0,0.088
12,3,17.0,0.025
6,3,1.0,0.842
10,2,1.0,0.394
9,3,18.0,0.003
2,2,14.0,0.001
5,1,26.0,0.0
11,3,1.0,0.209
10,2,18.0,0.001
7,1,9.0,0.003
8,3,18.0,0.002
9,2,9.0,0.012
10,1,5.0,0.049
10,2,3.0,0.294
7,1,26.0,0.0
9,3,17.0,0.051
1,2,9.0,0.066
7,3,17.0,0.004
3,3,8.0,0.02
5,1,1.0,0.254
5,2,1.0,0.158
6,3,9.0,0.001
9,3,25.0,0.016
2,2,1.0,0.395
10,3,3.0,0.198
4,1,9.0,0.023
4,1,26.0,0.0
9,2,5.0,0.051
11,1,25.0,0.0
4,2,3.0,0.333
2,3,2.0,0.117
3,3,7.0,0.044
4,1,5.0,0.033
1,1,17.0,0.073
5,3,2.0,0.147
8,2,18.0,0.007
11,1,3.0,0.201
5,3,7.0,0.022
5,3,26.0,0.0
7,2,26.0,0.0
9,1,5.0,0.034
9,1,17.0,0.035
2,1,1.0,0.296
10,2,14.0,0.0
1,1,2.0,0.114
1,2,25.0,0.001
12,2,17.0,0.029
6,1,7.0,0.014
5,1,2.0,0.125
12,2,5.0,0.12
8,2,17.0,0.019
8,1,5.0,0.015
8,1,1.0,0.798
1,3,1.0,0.327
4,3,3.0,0.322
1,3,7.0,0.084
5,3,18.0,0.002
12,3,14.0,0.0
9,1,26.0,0.0
12,3,5.0,0.239
10,1,1.0,0.559
4,2,18.0,0.004
4,2,26.0,0.0
1,1,5.0,0.17
11,2,9.0,0.093
1,1,7.0,0.082
11,2,14.0,0.0
9,2,3.0,0.16
4,3,25.0,0.0
10,3,25.0,0.0
5,3,3.0,0.312
10,2,25.0,0.004
11,3,5.0,0.051
8,3,3.0,0.16
12,3,2.0,0.136
5,2,2.0,0.153
9,2,1.0,0.515
4,3,8.0,0.022
5,3,1.0,0.465
6,3,26.0,0.0
6,3,17.0,0.003
1,2,5.0,0.063
6,1,25.0,0.003
3,2,26.0,0.0
10,1,2.0,0.133
7,3,3.0,0.013
12,1,14.0,0.0
3,1,9.0,0.047
3,2,17.0,0.074
7,2,7.0,0.0
7,2,1.0,0.867
4,2,5.0,0.027
7,3,8.0,0.0
2,2,7.0,0.053
8,2,2.0,0.132
5,1,7.0,0.042
7,1,2.0,0.095
9,1,8.0,0.018
2,3,26.0,0.0
9,1,14.0,0.0
10,3,1.0,0.458
3,3,9.0,0.006
7,3,14.0,0.0
4,2,8.0,0.031
2,3,7.0,0.075
8,3,25.0,0.0
10,1,25.0,0.002
7,1,7.0,0.004
12,2,1.0,0.256
9,2,17.0,0.051
1,3,8.0,0.041
8,3,9.0,0.0
10,3,9.0,0.008
11,2,3.0,0.267
12,3,26.0,0.0
5,3,14.0,0.0
4,3,14.0,0.0
10,1,17.0,0.01
6,2,7.0,0.01
2,3,25.0,0.0
6,2,25.0,0.0
8,2,26.0,0.0
8,2,14.0,0.0
7,1,14.0,0.0
1,3,26.0,0.0
3,2,8.0,0.046
3,2,14.0,0.0
4,2,9.0,0.038
1,1,3.0,0.275
2,1,3.0,0.381
7,2,3.0,0.035
6,1,1.0,0.453
5,1,5.0,0.013
9,3,1.0,0.405
6,1,17.0,0.004
6,1,9.0,0.0
2,2,5.0,0.12
3,2,25.0,0.0
6,2,17.0,0.054
1,3,14.0,0.0
4,1,3.0,0.34
6,3,7.0,0.0
1,3,9.0,0.081
1,2,18.0,0.005
1,3,5.0,0.095
4,3,1.0,0.412
3,1,25.0,0.004
8,1,9.0,0.003
6,2,8.0,0.012
2,1,14.0,0.0
7,2,14.0,0.0
11,1,2.0,0.137
2,2,2.0,0.099
7,1,17.0,0.022
12,3,18.0,0.009
9,3,2.0,0.173
6,3,2.0,0.065
11,2,18.0,0.008
3,1,3.0,0.389
7,1,25.0,0.013
3,3,26.0,0.0
1,3,17.0,0.051
10,2,26.0,0.002
6,1,14.0,0.0
6,2,1.0,0.457
5,2,18.0,0.002
11,2,1.0,0.154
5,2,7.0,0.02
3,3,14.0,0.0
8,3,5.0,0.018
2,3,8.0,0.062
2,1,26.0,0.0
1,1,1.0,0.176
3,1,17.0,0.072
11,3,2.0,0.142
12,2,3.0,0.36
10,1,9.0,0.001
7,2,9.0,0.0
9,2,7.0,0.026
6,2,9.0,0.006
10,1,18.0,0.001
1,1,9.0,0.039
2,1,18.0,0.0
2,1,7.0,0.04
12,1,25.0,0.007
5,2,26.0,0.0
7,1,3.0,0.065
8,2,25.0,0.0
5,3,17.0,0.018
12,3,9.0,0.011
9,1,3.0,0.282
2,3,1.0,0.079
9,3,14.0,0.0
8,1,7.0,0.001
5,1,18.0,0.0
8,3,26.0,0.0
10,3,14.0,0.0
6,3,5.0,0.04
2,1,8.0,0.015
7,2,8.0,0.0
12,3,7.0,0.045
12,3,25.0,0.009
11,2,25.0,0.0
7,1,18.0,0.003
7,2,2.0,0.083
10,3,17.0,0.041
9,2,25.0,0.0
1,3,25.0,0.004
2,3,17.0,0.05
3,2,9.0,0.014
5,2,25.0,0.0
1,2,2.0,0.099
6,1,8.0,0.003
2,1,25.0,0.001
4,2,14.0,0.0
6,2,26.0,0.0
7,3,18.0,0.0
4,1,1.0,0.334
9,2,8.0,0.015
11,1,18.0,0.003
7,3,25.0,0.0
2,3,18.0,0.002
2,2,25.0,0.009
3,2,1.0,0.345
8,1,18.0,0.001
8,1,25.0,0.005
3,1,2.0,0.185
12,1,5.0,0.024
5,1,25.0,0.0
5,1,3.0,0.402
1,2,3.0,0.369
5,3,25.0,0.005
12,1,8.0,0.142
11,2,7.0,0.053
4,3,17.0,0.023
11,1,7.0,0.022
4,2,17.0,0.052
1,3,3.0,0.216
5,2,17.0,0.033
12,1,1.0,0.08
4,3,9.0,0.004
2,2,18.0,0.006
7,1,1.0,0.793
12,2,25.0,0.003
6,1,5.0,0.038
3,1,1.0,0.119
1,2,8.0,0.087
3,3,25.0,0.0
6,3,14.0,0.0
10,1,26.0,0.0
10,2,8.0,0.02
10,3,26.0,0.0
12,1,7.0,0.108
1,2,7.0,0.091
11,3,8.0,0.061
12,2,26.0,0.0
2,1,17.0,0.01
3,2,7.0,0.065
10,2,2.0,0.14
4,1,2.0,0.109
12,2,2.0,0.069
6,3,3.0,0.046
12,2,9.0,0.052
8,2,8.0,0.003
11,2,17.0,0.111
9,2,14.0,0.0
3,1,26.0,0.0
10,1,14.0,0.0
2,3,3.0,0.48
1,3,2.0,0.089
11,3,3.0,0.316
4,1,7.0,0.084
7,1,8.0,0.0
8,1,3.0,0.037
5,1,14.0,0.0
1,1,14.0,0.0
4,2,25.0,0.0
9,1,2.0,0.137
10,2,5.0,0.078
9,1,25.0,0.0
4,1,25.0,0.001
3,2,5.0,0.042
11,3,7.0,0.036
11,1,14.0,0.0
8,1,8.0,0.0
5,2,3.0,0.524
12,1,17.0,0.068
5,1,8.0,0.088
2,1,5.0,0.128
9,3,3.0,0.268
4,3,7.0,0.03
8,3,1.0,0.58
12,1,9.0,0.081
11,3,14.0,0.0
3,3,2.0,0.15
9,2,18.0,0.005
11,3,26.0,0.0
6,3,25.0,0.0
