m,m3,coco,coco_pct
7,1,17.0,0.024
5,1,26.0,0.0
9,2,2.0,0.195
3,2,27.0,0.001
12,1,10.0,0.0
11,1,13.0,0.0
1,1,4.0,0.029
9,3,14.0,0.0
9,1,27.0,0.001
10,3,10.0,0.0
7,1,4.0,0.011
4,3,21.0,0.0
9,3,13.0,0.0
9,3,21.0,0.0
2,1,14.0,0.005
6,3,10.0,0.0
3,1,9.0,0.042
10,1,15.0,0.0
6,3,21.0,0.0
5,3,10.0,0.0
5,2,12.0,0.0
8,1,18.0,0.016
10,2,12.0,0.0
1,1,16.0,0.0
2,2,18.0,0.0
9,1,26.0,0.0
9,2,18.0,0.006
2,2,25.0,0.0
6,2,14.0,0.0
3,2,14.0,0.0
11,3,1.0,0.303
9,1,17.0,0.011
2,1,10.0,0.0
2,1,7.0,0.033
3,1,5.0,0.027
8,1,10.0,0.0
9,2,12.0,0.0
1,1,1.0,0.371
1,1,2.0,0.074
10,1,5.0,0.062
2,2,27.0,0.0
3,1,4.0,0.028
9,3,3.0,0.259
11,2,17.0,0.004
11,3,10.0,0.0
10,3,12.0,0.0
9,1,15.0,0.0
6,1,9.0,0.016
10,2,16.0,0.0
8,3,14.0,0.0
12,1,27.0,0.0
2,3,21.0,0.0
6,1,1.0,0.194
4,2,1.0,0.372
5,3,15.0,0.0
3,2,3.0,0.269
4,1,12.0,0.0
10,3,18.0,0.001
9,3,1.0,0.35
1,3,8.0,0.02
1,1,25.0,0.0
2,1,13.0,0.001
3,1,1.0,0.444
12,3,13.0,0.0
10,1,10.0,0.0
12,3,4.0,0.041
12,1,3.0,0.194
12,2,1.0,0.367
11,2,12.0,0.0
7,2,7.0,0.021
4,3,12.0,0.0
7,1,26.0,0.0
9,1,4.0,0.016
10,3,16.0,0.0
10,3,15.0,0.0
12,3,8.0,0.002
6,3,17.0,0.017
1,2,19.0,0.0
5,2,13.0,0.0
6,3,16.0,0.0
10,3,8.0,0.061
5,3,25.0,0.017
5,2,9.0,0.046
8,2,26.0,0.001
8,1,21.0,0.0
9,3,16.0,0.0
8,2,27.0,0.0
5,1,9.0,0.029
9,3,7.0,0.03
10,1,2.0,0.149
8,3,9.0,0.016
12,3,10.0,0.0
7,2,27.0,0.007
6,3,19.0,0.0
7,1,13.0,0.0
9,2,14.0,0.0
7,1,19.0,0.0
7,3,15.0,0.0
5,3,8.0,0.031
6,1,13.0,0.0
4,1,25.0,0.007
6,3,1.0,0.385
9,1,5.0,0.014
10,1,7.0,0.056
8,2,19.0,0.0
1,1,8.0,0.04
12,1,19.0,0.001
8,2,9.0,0.008
12,2,10.0,0.0
8,3,25.0,0.021
4,3,9.0,0.02
4,1,27.0,0.001
11,2,4.0,0.07
5,1,4.0,0.046
2,2,26.0,0.0
10,1,21.0,0.0
10,3,26.0,0.0
8,1,4.0,0.01
6,1,5.0,0.036
1,1,7.0,0.049
5,2,10.0,0.0
8,2,1.0,0.419
8,2,7.0,0.024
2,1,19.0,0.0
6,2,12.0,0.0
5,3,19.0,0.0
6,1,2.0,0.257
2,3,19.0,0.001
11,1,18.0,0.0
9,2,26.0,0.0
3,3,16.0,0.0
3,3,25.0,0.002
10,3,13.0,0.0
7,2,21.0,0.0
9,3,27.0,0.0
1,1,14.0,0.002
10,2,19.0,0.0
12,2,16.0,0.0
5,3,17.0,0.026
8,2,3.0,0.187
9,1,25.0,0.014
2,3,13.0,0.0
2,1,3.0,0.186
1,1,21.0,0.003
8,3,1.0,0.415
4,2,4.0,0.049
10,2,21.0,0.0
10,2,10.0,0.0
9,3,25.0,0.003
5,2,1.0,0.239
4,3,26.0,0.0
12,3,3.0,0.208
5,2,17.0,0.012
9,3,5.0,0.043
12,1,2.0,0.108
7,1,21.0,0.0
6,2,2.0,0.28
7,3,16.0,0.0
3,1,27.0,0.0
5,1,27.0,0.002
12,3,17.0,0.0
9,2,17.0,0.017
5,2,7.0,0.109
9,3,15.0,0.0
1,2,12.0,0.003
1,2,26.0,0.0
6,3,25.0,0.018
12,2,18.0,0.0
3,1,8.0,0.046
11,2,1.0,0.197
12,2,9.0,0.001
4,1,9.0,0.007
10,2,3.0,0.306
1,2,13.0,0.0
10,1,27.0,0.001
11,3,26.0,0.0
10,3,2.0,0.098
2,3,15.0,0.001
4,1,14.0,0.0
8,2,10.0,0.0
11,1,26.0,0.0
12,3,1.0,0.374
3,1,2.0,0.142
11,1,27.0,0.001
9,3,17.0,0.005
1,3,12.0,0.002
9,1,13.0,0.0
5,3,21.0,0.0
2,2,21.0,0.0
8,1,9.0,0.001
8,1,19.0,0.0
3,1,14.0,0.0
11,3,3.0,0.219
2,3,2.0,0.113
1,1,5.0,0.218
3,1,17.0,0.001
10,1,4.0,0.052
10,2,2.0,0.139
1,3,13.0,0.0
7,1,18.0,0.012
1,2,10.0,0.0
7,3,1.0,0.421
11,1,17.0,0.001
2,3,27.0,0.0
3,1,15.0,0.0
4,2,15.0,0.0
7,1,7.0,0.018
2,1,12.0,0.008
3,2,17.0,0.001
5,2,3.0,0.202
11,1,8.0,0.043
1,3,9.0,0.007
3,1,13.0,0.0
12,1,13.0,0.0
9,1,14.0,0.0
4,1,26.0,0.0
11,2,2.0,0.104
8,3,10.0,0.0
2,1,18.0,0.0
4,2,18.0,0.004
5,2,26.0,0.0
10,3,21.0,0.0
7,3,14.0,0.0
12,2,5.0,0.24
11,1,1.0,0.238
4,1,10.0,0.0
5,1,3.0,0.236
7,3,25.0,0.031
11,2,8.0,0.044
7,3,19.0,0.0
10,3,25.0,0.0
6,2,1.0,0.252
8,2,13.0,0.0
9,1,9.0,0.017
4,2,25.0,0.0
8,2,2.0,0.28
5,1,2.0,0.235
8,3,21.0,0.0
9,2,27.0,0.001
11,3,8.0,0.051
6,1,3.0,0.277
4,3,5.0,0.03
10,3,14.0,0.0
1,2,14.0,0.001
12,3,7.0,0.002
1,1,10.0,0.0
6,1,18.0,0.007
8,3,13.0,0.0
2,1,27.0,0.0
5,2,15.0,0.0
11,1,2.0,0.124
3,2,18.0,0.0
8,1,14.0,0.0
3,2,2.0,0.167
8,3,5.0,0.002
12,3,5.0,0.234
4,1,21.0,0.0
7,2,25.0,0.017
3,2,4.0,0.071
2,3,10.0,0.0
11,3,12.0,0.008
5,3,14.0,0.0
12,1,7.0,0.059
1,3,5.0,0.217
12,3,9.0,0.001
6,3,7.0,0.017
2,1,15.0,0.004
11,3,21.0,0.0
12,1,25.0,0.0
4,3,2.0,0.158
4,3,14.0,0.0
4,2,13.0,0.0
5,1,15.0,0.0
7,1,3.0,0.194
9,3,12.0,0.0
11,2,5.0,0.283
7,3,13.0,0.0
5,1,19.0,0.0
9,1,1.0,0.353
4,1,7.0,0.063
8,1,26.0,0.0
3,2,10.0,0.0
11,2,13.0,0.0
4,3,3.0,0.288
8,3,8.0,0.024
1,2,8.0,0.007
6,3,4.0,0.006
4,3,1.0,0.26
10,2,13.0,0.0
7,1,25.0,0.032
4,2,21.0,0.0
6,2,8.0,0.038
1,3,27.0,0.0
9,2,15.0,0.0
3,3,1.0,0.476
9,2,21.0,0.0
7,2,8.0,0.018
12,2,8.0,0.02
1,1,9.0,0.008
3,3,2.0,0.12
3,2,19.0,0.0
2,3,4.0,0.003
8,1,3.0,0.169
8,2,18.0,0.017
6,1,12.0,0.0
10,2,27.0,0.0
10,2,18.0,0.001
9,2,7.0,0.029
3,3,15.0,0.0
2,1,2.0,0.1
1,2,18.0,0.0
2,3,9.0,0.023
5,3,13.0,0.0
2,3,1.0,0.412
7,2,12.0,0.0
3,2,1.0,0.359
7,3,21.0,0.0
11,3,5.0,0.14
10,2,15.0,0.0
1,3,4.0,0.021
12,1,26.0,0.0
8,3,27.0,0.003
10,2,4.0,0.03
12,3,25.0,0.0
1,3,15.0,0.0
5,1,7.0,0.122
11,1,14.0,0.0
1,2,3.0,0.191
7,3,10.0,0.0
1,2,16.0,0.0
11,2,7.0,0.066
9,3,19.0,0.0
4,1,1.0,0.421
6,3,13.0,0.0
10,3,19.0,0.0
11,1,5.0,0.249
1,1,19.0,0.0
10,1,16.0,0.0
3,1,12.0,0.0
3,2,5.0,0.075
1,2,9.0,0.002
7,3,7.0,0.018
3,2,7.0,0.033
7,1,27.0,0.004
4,1,17.0,0.006
8,3,7.0,0.019
9,1,16.0,0.0
10,3,1.0,0.265
5,2,25.0,0.017
5,2,18.0,0.005
2,1,5.0,0.198
1,3,2.0,0.122
9,2,16.0,0.0
6,3,8.0,0.019
4,3,7.0,0.095
10,2,8.0,0.044
3,3,18.0,0.0
5,3,26.0,0.002
12,3,14.0,0.004
5,3,7.0,0.069
7,2,5.0,0.007
12,2,19.0,0.0
4,3,17.0,0.001
8,1,12.0,0.0
8,1,17.0,0.011
5,1,16.0,0.0
3,3,5.0,0.042
11,3,13.0,0.001
7,2,26.0,0.001
1,2,2.0,0.079
8,3,18.0,0.014
10,1,26.0,0.0
7,1,10.0,0.0
12,1,5.0,0.168
2,2,3.0,0.187
6,2,5.0,0.016
3,3,17.0,0.002
7,1,5.0,0.012
8,2,16.0,0.0
9,3,26.0,0.0
11,3,27.0,0.0
7,2,3.0,0.234
2,2,4.0,0.02
5,2,4.0,0.045
12,1,12.0,0.025
1,3,18.0,0.001
9,1,19.0,0.0
12,3,12.0,0.002
3,2,13.0,0.0
2,2,2.0,0.088
6,2,17.0,0.029
1,3,3.0,0.22
11,1,16.0,0.0
11,1,19.0,0.0
1,1,13.0,0.0
3,3,9.0,0.017
1,3,16.0,0.0
2,3,16.0,0.0
11,3,7.0,0.072
7,1,8.0,0.009
7,3,18.0,0.007
10,2,25.0,0.001
9,2,13.0,0.0
10,1,12.0,0.0
2,3,18.0,0.0
10,2,17.0,0.003
10,3,3.0,0.196
6,2,18.0,0.015
12,2,21.0,0.0
8,1,16.0,0.0
10,3,27.0,0.002
12,3,2.0,0.13
4,1,5.0,0.031
6,1,4.0,0.024
7,2,4.0,0.007
10,1,13.0,0.0
11,3,16.0,0.001
12,3,15.0,0.003
6,3,3.0,0.276
7,3,17.0,0.015
5,3,12.0,0.0
7,1,1.0,0.419
2,1,9.0,0.018
11,2,16.0,0.0
2,3,17.0,0.005
11,1,25.0,0.0
12,1,1.0,0.328
6,3,15.0,0.0
3,3,21.0,0.0
3,2,16.0,0.0
8,3,12.0,0.0
10,2,9.0,0.025
2,3,26.0,0.0
9,1,12.0,0.0
4,3,27.0,0.002
3,1,21.0,0.0
7,2,13.0,0.0
12,1,17.0,0.0
6,1,15.0,0.0
11,2,14.0,0.0
7,3,4.0,0.012
2,3,14.0,0.0
10,1,25.0,0.006
1,3,14.0,0.007
2,1,8.0,0.024
6,2,3.0,0.257
6,2,7.0,0.057
11,3,15.0,0.002
10,1,3.0,0.268
12,1,16.0,0.0
7,2,10.0,0.0
5,3,9.0,0.028
9,2,9.0,0.007
5,1,10.0,0.0
4,1,15.0,0.0
5,3,2.0,0.283
4,2,16.0,0.0
7,1,12.0,0.0
4,3,18.0,0.001
3,1,3.0,0.228
6,1,7.0,0.074
5,1,18.0,0.002
4,1,2.0,0.159
5,3,18.0,0.005
11,1,7.0,0.089
6,3,14.0,0.0
9,2,4.0,0.032
7,3,9.0,0.006
12,3,18.0,0.0
5,1,12.0,0.0
12,3,21.0,0.001
4,1,13.0,0.0
1,3,17.0,0.002
1,1,26.0,0.0
2,3,7.0,0.02
4,1,18.0,0.002
11,3,9.0,0.002
3,2,12.0,0.0
11,1,3.0,0.191
8,3,19.0,0.0
8,1,2.0,0.301
9,2,3.0,0.241
6,2,25.0,0.032
4,2,14.0,0.0
10,3,17.0,0.007
6,1,8.0,0.045
4,2,2.0,0.231
11,2,15.0,0.0
6,2,4.0,0.01
11,1,10.0,0.0
12,2,4.0,0.063
10,3,5.0,0.243
6,1,26.0,0.002
12,2,2.0,0.107
1,2,1.0,0.533
4,1,4.0,0.032
11,1,12.0,0.0
9,2,19.0,0.0
11,3,25.0,0.0
11,3,2.0,0.164
11,3,14.0,0.001
4,1,8.0,0.026
9,1,21.0,0.0
1,1,17.0,0.001
5,1,14.0,0.0
12,3,16.0,0.0
8,1,27.0,0.008
2,2,12.0,0.0
2,2,5.0,0.176
9,2,25.0,0.012
3,2,15.0,0.0
2,1,1.0,0.395
3,1,10.0,0.0
9,3,2.0,0.245
8,1,7.0,0.023
7,3,26.0,0.001
12,3,19.0,0.0
7,3,8.0,0.005
1,3,10.0,0.001
1,2,21.0,0.0
6,1,14.0,0.0
10,3,9.0,0.016
11,3,19.0,0.0
2,3,5.0,0.126
8,2,21.0,0.0
3,3,7.0,0.049
8,3,3.0,0.156
4,3,25.0,0.008
2,2,19.0,0.0
8,1,5.0,0.006
4,1,16.0,0.0
4,3,10.0,0.0
5,3,1.0,0.245
9,3,18.0,0.003
4,2,8.0,0.026
6,1,27.0,0.003
5,3,16.0,0.0
5,1,8.0,0.07
11,1,9.0,0.007
11,2,10.0,0.0
7,3,3.0,0.196
8,1,8.0,0.003
7,3,12.0,0.0
1,2,5.0,0.142
1,1,15.0,0.002
3,3,27.0,0.001
7,1,16.0,0.0
4,3,4.0,0.081
7,2,2.0,0.316
1,3,19.0,0.0
4,2,3.0,0.228
3,1,16.0,0.0
5,3,4.0,0.029
12,2,15.0,0.001
1,1,27.0,0.0
7,2,18.0,0.006
7,3,5.0,0.002
10,1,17.0,0.001
6,1,25.0,0.041
5,2,5.0,0.032
10,1,14.0,0.0
3,2,9.0,0.0
7,2,17.0,0.018
4,2,19.0,0.0
5,2,2.0,0.22
4,2,9.0,0.005
3,3,4.0,0.036
10,2,5.0,0.099
11,3,17.0,0.0
5,2,16.0,0.0
12,2,17.0,0.001
6,2,10.0,0.0
12,1,9.0,0.011
3,2,21.0,0.0
10,2,14.0,0.0
3,1,7.0,0.042
3,2,25.0,0.0
8,1,25.0,0.023
2,1,26.0,0.0
5,1,13.0,0.0
12,2,27.0,0.0
11,2,3.0,0.226
4,2,27.0,0.0
10,2,26.0,0.0
4,1,19.0,0.0
1,1,18.0,0.0
6,1,17.0,0.023
9,3,9.0,0.008
9,1,18.0,0.008
8,2,12.0,0.0
12,1,8.0,0.025
11,2,27.0,0.0
4,1,3.0,0.246
9,1,7.0,0.045
6,3,2.0,0.229
4,2,7.0,0.064
6,1,16.0,0.0
7,1,2.0,0.259
4,2,17.0,0.005
8,1,13.0,0.0
3,3,12.0,0.0
9,3,10.0,0.0
6,3,5.0,0.017
11,2,19.0,0.0
7,1,9.0,0.005
1,2,4.0,0.028
10,2,1.0,0.302
1,2,7.0,0.014
8,3,26.0,0.0
8,2,17.0,0.01
2,3,25.0,0.0
2,2,13.0,0.0
7,1,15.0,0.0
2,1,21.0,0.0
11,1,4.0,0.059
3,3,19.0,0.0
10,3,7.0,0.089
6,2,13.0,0.0
5,3,27.0,0.004
9,3,4.0,0.039
3,2,8.0,0.024
9,1,3.0,0.226
8,1,15.0,0.0
10,1,18.0,0.001
5,1,1.0,0.229
1,3,25.0,0.0
2,1,16.0,0.0
2,2,10.0,0.002
3,3,10.0,0.0
8,2,14.0,0.0
7,1,14.0,0.0
8,3,2.0,0.313
2,3,3.0,0.255
4,3,8.0,0.057
2,1,25.0,0.0
8,2,8.0,0.017
5,2,14.0,0.0
12,2,25.0,0.0
2,2,15.0,0.002
12,2,7.0,0.036
5,1,5.0,0.012
3,3,13.0,0.0
9,3,8.0,0.015
9,1,8.0,0.031
6,2,16.0,0.0
4,2,10.0,0.0
12,2,12.0,0.004
10,1,19.0,0.0
