m,m3,coco,coco_pct
1,1,2.0,0.173
12,2,3.0,0.238
7,2,21.0,0.0
9,2,4.0,0.001
3,3,19.0,0.0
8,2,4.0,0.0
9,2,26.0,0.0
11,3,19.0,0.0
8,2,5.0,0.004
2,2,18.0,0.04
1,1,23.0,0.0
1,2,2.0,0.179
3,1,21.0,0.0
11,2,4.0,0.005
9,2,25.0,0.012
3,3,5.0,0.002
5,3,21.0,0.0
3,1,18.0,0.048
1,3,26.0,0.004
3,2,21.0,0.0
6,1,18.0,0.018
7,1,4.0,0.0
1,2,25.0,0.077
4,2,7.0,0.001
6,3,4.0,0.001
3,3,4.0,0.018
9,1,7.0,0.0
11,3,4.0,0.018
7,1,3.0,0.024
10,3,19.0,0.0
11,1,26.0,0.0
3,2,19.0,0.0
5,2,19.0,0.0
5,2,7.0,0.0
8,3,18.0,0.001
9,3,18.0,0.007
6,3,26.0,0.0
1,2,19.0,0.0
10,1,25.0,0.01
10,2,25.0,0.038
3,1,25.0,0.026
9,2,5.0,0.002
6,2,18.0,0.058
2,2,25.0,0.042
2,2,21.0,0.0
7,2,18.0,0.001
9,2,7.0,0.001
1,3,27.0,0.0
9,3,1.0,0.621
8,1,2.0,0.44
9,1,3.0,0.036
8,2,19.0,0.0
12,1,5.0,0.01
5,2,2.0,0.344
3,3,17.0,0.039
6,1,21.0,0.0
9,1,2.0,0.376
8,1,4.0,0.001
6,1,2.0,0.365
9,3,17.0,0.001
4,3,26.0,0.0
6,1,1.0,0.479
9,2,17.0,0.002
6,1,25.0,0.006
8,1,7.0,0.0
6,2,1.0,0.328
2,1,1.0,0.361
9,1,5.0,0.001
7,2,19.0,0.0
2,3,26.0,0.0
6,3,23.0,0.001
3,2,17.0,0.043
11,2,1.0,0.426
11,2,17.0,0.03
5,1,2.0,0.377
11,1,4.0,0.001
12,3,7.0,0.0
12,1,19.0,0.0
3,2,5.0,0.002
6,1,5.0,0.001
4,2,5.0,0.002
5,3,19.0,0.0
10,1,5.0,0.0
7,2,1.0,0.702
6,3,1.0,0.582
3,3,23.0,0.001
2,1,19.0,0.0
9,3,3.0,0.07
3,2,2.0,0.334
4,1,5.0,0.012
5,3,18.0,0.035
5,2,1.0,0.486
6,2,7.0,0.0
7,2,7.0,0.0
11,2,3.0,0.164
12,3,19.0,0.0
9,2,21.0,0.0
5,2,26.0,0.0
2,2,19.0,0.0
11,1,27.0,0.0
1,3,1.0,0.29
2,2,3.0,0.195
1,3,5.0,0.01
3,2,26.0,0.001
10,2,23.0,0.001
4,1,1.0,0.223
2,2,23.0,0.0
6,2,23.0,0.001
3,1,17.0,0.03
12,3,18.0,0.082
6,2,17.0,0.003
4,3,3.0,0.185
7,3,27.0,0.001
6,3,27.0,0.0
6,1,7.0,0.0
1,3,25.0,0.077
5,1,3.0,0.226
11,1,5.0,0.001
5,1,7.0,0.0
10,3,7.0,0.0
2,3,2.0,0.236
3,2,25.0,0.033
10,3,21.0,0.0
9,3,27.0,0.001
10,3,18.0,0.018
3,3,7.0,0.0
1,1,5.0,0.024
3,3,3.0,0.235
12,2,25.0,0.102
11,3,1.0,0.25
8,3,21.0,0.0
9,3,2.0,0.283
7,3,23.0,0.0
10,1,7.0,0.0
11,2,23.0,0.001
1,1,27.0,0.0
6,2,4.0,0.007
1,2,5.0,0.02
10,2,3.0,0.15
12,1,25.0,0.074
8,3,4.0,0.0
12,3,5.0,0.014
8,2,17.0,0.001
5,3,25.0,0.043
10,2,19.0,0.0
5,3,1.0,0.34
1,3,17.0,0.07
5,1,5.0,0.001
5,3,7.0,0.0
8,3,3.0,0.014
2,1,7.0,0.0
12,1,23.0,0.0
11,2,18.0,0.047
8,1,25.0,0.004
7,2,17.0,0.0
5,1,19.0,0.0
7,1,2.0,0.296
2,2,1.0,0.406
3,1,7.0,0.0
12,3,3.0,0.172
7,2,3.0,0.021
4,3,25.0,0.021
8,2,2.0,0.279
7,3,5.0,0.002
1,2,18.0,0.08
9,1,23.0,0.0
12,2,7.0,0.0
6,2,26.0,0.001
8,1,19.0,0.0
12,2,4.0,0.019
4,2,17.0,0.004
8,2,23.0,0.0
12,1,2.0,0.252
6,2,25.0,0.047
2,1,26.0,0.0
6,1,23.0,0.0
3,1,5.0,0.003
11,2,27.0,0.001
3,1,27.0,0.0
1,1,18.0,0.095
7,3,18.0,0.004
12,1,18.0,0.132
9,2,1.0,0.58
9,1,17.0,0.0
5,3,17.0,0.002
11,1,17.0,0.003
1,2,17.0,0.045
8,1,18.0,0.0
6,3,2.0,0.363
1,2,3.0,0.256
4,2,23.0,0.0
2,3,25.0,0.056
4,1,4.0,0.012
10,1,23.0,0.001
2,1,5.0,0.014
10,3,5.0,0.0
4,1,3.0,0.312
12,3,23.0,0.0
10,1,2.0,0.324
5,2,27.0,0.0
8,3,7.0,0.0
11,2,7.0,0.0
3,2,27.0,0.0
4,1,21.0,0.0
5,2,25.0,0.014
6,2,21.0,0.0
9,1,18.0,0.002
6,2,19.0,0.0
2,1,3.0,0.236
9,2,18.0,0.01
2,3,17.0,0.113
7,3,21.0,0.0
7,1,23.0,0.0
6,3,21.0,0.0
10,1,1.0,0.59
6,3,3.0,0.046
7,1,19.0,0.0
1,3,3.0,0.203
7,2,27.0,0.0
1,3,18.0,0.096
11,1,3.0,0.098
12,2,19.0,0.0
4,2,27.0,0.0
12,1,27.0,0.0
2,3,18.0,0.037
11,2,25.0,0.048
4,1,7.0,0.0
7,1,7.0,0.0
5,2,3.0,0.138
11,1,18.0,0.022
2,2,5.0,0.003
3,1,4.0,0.028
12,2,23.0,0.0
5,2,4.0,0.004
1,3,7.0,0.0
4,3,4.0,0.012
12,2,17.0,0.069
8,1,21.0,0.0
5,1,27.0,0.0
10,3,17.0,0.005
4,1,26.0,0.001
12,1,26.0,0.0
5,1,26.0,0.0
9,2,27.0,0.0
3,3,26.0,0.0
8,2,3.0,0.022
11,1,2.0,0.224
12,3,26.0,0.001
4,3,21.0,0.0
9,2,23.0,0.001
8,2,27.0,0.0
4,1,18.0,0.029
6,2,2.0,0.416
10,2,2.0,0.407
2,2,26.0,0.0
3,1,2.0,0.285
8,3,1.0,0.569
8,3,2.0,0.412
9,3,19.0,0.0
12,1,17.0,0.083
9,3,21.0,0.0
10,2,7.0,0.0
7,1,26.0,0.0
4,3,5.0,0.004
10,1,27.0,0.0
11,3,3.0,0.267
8,1,1.0,0.509
4,3,18.0,0.009
9,1,19.0,0.0
9,3,25.0,0.016
6,3,7.0,0.0
1,2,23.0,0.001
11,3,17.0,0.039
11,3,26.0,0.0
1,1,1.0,0.276
10,2,18.0,0.02
7,2,2.0,0.271
4,3,7.0,0.0
5,2,21.0,0.0
5,1,17.0,0.022
8,3,5.0,0.002
5,2,18.0,0.007
2,3,4.0,0.014
4,1,19.0,0.0
10,3,2.0,0.234
4,1,25.0,0.025
4,2,4.0,0.005
8,2,21.0,0.0
12,2,1.0,0.301
5,2,5.0,0.001
12,3,4.0,0.009
2,1,17.0,0.059
6,1,27.0,0.0
5,3,27.0,0.0
2,1,25.0,0.05
12,3,21.0,0.0
7,2,4.0,0.001
11,3,18.0,0.128
1,3,2.0,0.232
3,1,19.0,0.0
6,3,17.0,0.0
3,1,23.0,0.0
1,3,19.0,0.001
8,1,23.0,0.001
11,1,1.0,0.615
10,2,5.0,0.0
3,1,3.0,0.279
2,3,21.0,0.0
9,1,21.0,0.0
2,1,2.0,0.209
8,1,3.0,0.044
4,2,18.0,0.007
11,1,7.0,0.0
10,3,4.0,0.004
12,2,18.0,0.085
4,1,23.0,0.0
12,2,27.0,0.0
11,1,21.0,0.0
4,2,19.0,0.0
