m,m3,coco,coco_pct
3,3,2.0,0.355
3,1,7.0,0.065
8,2,3.0,0.049
9,2,1.0,0.336
9,1,15.0,0.0
7,2,18.0,0.0
5,2,25.0,0.022
5,1,17.0,0.001
6,2,14.0,0.0
12,1,25.0,0.006
10,2,5.0,0.001
2,1,14.0,0.0
10,1,7.0,0.053
11,1,7.0,0.101
11,1,8.0,0.048
3,3,4.0,0.027
1,2,15.0,0.0
7,3,9.0,0.003
12,1,5.0,0.009
6,3,15.0,0.0
12,3,1.0,0.248
12,1,14.0,0.0
7,2,27.0,0.0
4,2,3.0,0.216
2,2,4.0,0.102
5,2,18.0,0.001
1,2,13.0,0.0
11,3,1.0,0.238
4,1,4.0,0.017
10,1,27.0,0.0
11,1,15.0,0.0
10,1,3.0,0.259
1,1,7.0,0.082
11,1,18.0,0.0
9,2,3.0,0.155
1,3,18.0,0.0
7,1,9.0,0.0
10,2,27.0,0.0
2,2,8.0,0.024
11,3,12.0,0.0
2,3,12.0,0.0
11,3,13.0,0.0
11,3,5.0,0.004
9,2,7.0,0.04
3,3,1.0,0.378
7,2,4.0,0.0
4,2,15.0,0.0
3,2,2.0,0.44
11,1,17.0,0.0
5,2,9.0,0.004
4,1,1.0,0.374
1,3,15.0,0.0
7,1,4.0,0.0
3,1,3.0,0.274
11,3,2.0,0.193
8,2,7.0,0.004
7,2,3.0,0.038
4,3,17.0,0.0
2,2,18.0,0.002
1,2,12.0,0.0
9,1,17.0,0.0
3,1,13.0,0.0
4,1,9.0,0.002
2,1,4.0,0.095
12,3,2.0,0.178
6,1,15.0,0.0
5,2,2.0,0.349
9,2,25.0,0.011
2,3,8.0,0.049
6,1,7.0,0.046
12,1,1.0,0.148
5,1,27.0,0.002
10,2,17.0,0.0
11,3,8.0,0.028
10,1,18.0,0.0
3,2,27.0,0.0
8,2,27.0,0.001
4,1,18.0,0.001
11,2,8.0,0.054
12,2,13.0,0.0
4,1,27.0,0.0
9,3,18.0,0.0
11,3,4.0,0.103
5,3,13.0,0.0
4,2,2.0,0.416
2,3,2.0,0.244
4,2,13.0,0.0
3,2,7.0,0.031
10,2,12.0,0.0
4,3,18.0,0.0
2,3,25.0,0.0
8,3,7.0,0.016
2,1,17.0,0.0
5,1,2.0,0.46
3,2,3.0,0.229
1,2,17.0,0.0
3,1,15.0,0.0
5,3,7.0,0.031
4,2,9.0,0.006
4,3,13.0,0.0
1,2,25.0,0.001
3,1,14.0,0.0
6,3,9.0,0.0
1,1,1.0,0.221
12,2,15.0,0.0
11,3,15.0,0.0
4,2,8.0,0.024
2,2,27.0,0.0
6,3,27.0,0.0
9,1,2.0,0.47
8,1,4.0,0.002
4,1,2.0,0.354
8,2,2.0,0.356
10,3,17.0,0.0
1,2,9.0,0.0
1,1,18.0,0.001
5,3,3.0,0.202
2,1,2.0,0.234
11,2,25.0,0.002
3,2,9.0,0.0
1,3,1.0,0.198
2,1,9.0,0.023
6,2,25.0,0.013
10,1,13.0,0.0
6,2,7.0,0.031
11,1,2.0,0.284
11,2,7.0,0.095
2,1,27.0,0.0
6,2,12.0,0.0
9,1,3.0,0.065
2,1,7.0,0.068
12,1,8.0,0.073
1,1,9.0,0.008
9,2,27.0,0.0
5,1,4.0,0.045
12,3,18.0,0.001
12,2,14.0,0.0
1,1,2.0,0.153
10,1,1.0,0.285
9,3,4.0,0.013
1,3,13.0,0.0
1,2,1.0,0.301
10,2,9.0,0.01
3,3,25.0,0.002
10,3,12.0,0.0
1,3,5.0,0.058
6,1,4.0,0.001
4,3,15.0,0.0
5,1,14.0,0.0
5,3,8.0,0.017
5,3,1.0,0.154
2,3,27.0,0.0
3,2,13.0,0.0
4,2,14.0,0.0
10,3,5.0,0.001
12,3,17.0,0.0
2,3,1.0,0.311
3,2,18.0,0.001
3,3,12.0,0.002
2,3,3.0,0.186
6,2,18.0,0.003
8,1,14.0,0.0
8,1,25.0,0.0
3,1,1.0,0.281
6,3,17.0,0.001
9,2,14.0,0.0
10,1,8.0,0.015
6,2,3.0,0.05
10,2,13.0,0.0
10,3,9.0,0.009
9,3,27.0,0.0
12,1,18.0,0.001
12,3,14.0,0.0
10,1,17.0,0.0
1,1,12.0,0.0
2,1,8.0,0.021
7,1,17.0,0.0
6,1,8.0,0.009
8,3,14.0,0.0
11,1,25.0,0.014
5,1,7.0,0.083
11,2,1.0,0.163
9,2,12.0,0.0
8,3,8.0,0.017
7,3,18.0,0.001
4,3,4.0,0.045
12,3,8.0,0.023
5,1,12.0,0.0
7,1,18.0,0.0
10,1,14.0,0.0
12,2,2.0,0.145
5,3,14.0,0.0
12,2,1.0,0.304
6,2,17.0,0.0
6,2,9.0,0.0
8,2,18.0,0.004
12,3,5.0,0.043
8,2,13.0,0.0
6,2,5.0,0.0
7,1,14.0,0.0
1,2,8.0,0.008
7,1,5.0,0.001
3,3,13.0,0.001
12,2,3.0,0.207
11,1,4.0,0.071
8,1,15.0,0.0
5,2,4.0,0.026
4,3,3.0,0.245
11,3,3.0,0.303
7,3,13.0,0.0
7,1,12.0,0.0
11,2,12.0,0.0
7,1,25.0,0.0
1,3,2.0,0.237
9,3,9.0,0.005
1,2,18.0,0.0
9,3,17.0,0.0
10,3,4.0,0.049
1,3,17.0,0.0
12,2,8.0,0.026
10,3,8.0,0.034
9,2,13.0,0.0
5,1,13.0,0.0
3,3,5.0,0.0
10,2,4.0,0.025
7,1,7.0,0.007
5,3,17.0,0.001
9,3,5.0,0.0
2,3,14.0,0.0
7,1,13.0,0.0
8,1,1.0,0.541
11,1,27.0,0.0
8,2,4.0,0.0
3,1,2.0,0.31
9,1,18.0,0.015
2,2,2.0,0.263
1,3,12.0,0.0
5,1,25.0,0.017
3,1,8.0,0.029
8,3,12.0,0.0
3,3,18.0,0.001
12,2,25.0,0.003
2,3,15.0,0.0
10,1,2.0,0.35
7,2,8.0,0.005
11,1,13.0,0.0
3,3,7.0,0.033
4,1,5.0,0.001
2,3,5.0,0.0
11,1,14.0,0.0
7,2,9.0,0.0
9,3,8.0,0.02
1,2,7.0,0.046
3,3,27.0,0.0
6,3,4.0,0.0
3,2,1.0,0.244
5,3,18.0,0.001
6,3,18.0,0.002
9,1,13.0,0.0
2,2,14.0,0.003
8,1,3.0,0.032
4,1,13.0,0.0
4,3,1.0,0.196
7,3,2.0,0.326
10,3,25.0,0.004
4,1,15.0,0.0
9,1,4.0,0.0
12,2,27.0,0.0
3,3,14.0,0.001
1,2,5.0,0.028
5,3,5.0,0.002
7,2,17.0,0.001
11,2,2.0,0.258
12,1,7.0,0.183
4,1,12.0,0.0
12,1,4.0,0.162
8,2,17.0,0.0
8,3,2.0,0.424
4,1,14.0,0.0
6,1,3.0,0.209
3,3,17.0,0.001
11,1,9.0,0.01
5,2,13.0,0.0
4,3,9.0,0.008
2,2,3.0,0.222
11,1,5.0,0.001
3,3,15.0,0.0
10,2,1.0,0.243
9,3,14.0,0.0
6,1,14.0,0.0
11,3,25.0,0.001
6,3,25.0,0.017
9,2,2.0,0.427
10,2,7.0,0.067
3,1,4.0,0.039
11,2,18.0,0.0
4,3,5.0,0.0
8,1,2.0,0.416
11,2,14.0,0.0
9,2,17.0,0.0
8,3,25.0,0.015
9,3,1.0,0.316
3,1,9.0,0.004
1,1,15.0,0.0
8,1,5.0,0.0
2,2,13.0,0.0
6,3,12.0,0.0
2,1,1.0,0.297
7,1,27.0,0.0
7,1,15.0,0.0
2,1,13.0,0.0
8,1,17.0,0.0
10,3,13.0,0.0
12,2,7.0,0.082
6,2,15.0,0.0
2,2,15.0,0.001
10,3,27.0,0.003
7,1,1.0,0.578
12,1,9.0,0.018
8,2,12.0,0.0
9,3,12.0,0.0
6,3,13.0,0.0
4,2,18.0,0.0
3,1,27.0,0.0
5,1,15.0,0.0
3,2,17.0,0.0
4,2,27.0,0.0
10,1,5.0,0.0
1,3,3.0,0.231
7,3,17.0,0.0
12,1,13.0,0.0
5,1,5.0,0.0
3,2,4.0,0.046
12,3,9.0,0.008
12,3,13.0,0.0
11,3,14.0,0.0
5,1,1.0,0.134
7,2,14.0,0.0
2,2,25.0,0.0
6,2,8.0,0.006
1,2,4.0,0.097
2,1,5.0,0.035
9,3,2.0,0.381
6,3,7.0,0.015
2,2,7.0,0.044
9,3,13.0,0.0
3,2,15.0,0.0
1,2,2.0,0.191
3,1,5.0,0.0
4,2,12.0,0.0
11,3,7.0,0.101
1,1,14.0,0.0
9,1,14.0,0.0
7,3,7.0,0.003
9,1,9.0,0.003
8,1,9.0,0.0
7,3,15.0,0.0
11,1,1.0,0.118
2,3,4.0,0.106
5,2,12.0,0.0
5,3,2.0,0.556
12,3,27.0,0.0
5,3,4.0,0.016
4,1,8.0,0.014
4,1,25.0,0.0
11,2,4.0,0.051
10,1,25.0,0.002
7,2,1.0,0.628
8,1,7.0,0.009
12,1,3.0,0.213
7,2,13.0,0.0
6,1,25.0,0.031
6,3,8.0,0.004
7,2,12.0,0.0
12,3,4.0,0.204
2,2,17.0,0.0
5,3,12.0,0.0
9,2,18.0,0.002
3,1,17.0,0.0
10,2,8.0,0.027
1,2,27.0,0.0
5,2,3.0,0.312
8,2,15.0,0.0
2,1,18.0,0.0
11,2,17.0,0.0
2,1,15.0,0.0
7,3,25.0,0.005
10,3,18.0,0.0
4,3,27.0,0.0
1,1,27.0,0.0
5,2,8.0,0.038
12,3,25.0,0.0
5,3,25.0,0.017
5,2,5.0,0.002
8,3,1.0,0.469
12,3,15.0,0.0
1,3,4.0,0.134
8,3,27.0,0.0
12,2,4.0,0.203
5,2,1.0,0.145
5,1,9.0,0.007
8,1,12.0,0.0
5,3,15.0,0.0
10,3,2.0,0.274
1,1,8.0,0.032
4,1,7.0,0.037
2,1,25.0,0.004
3,2,14.0,0.0
4,1,3.0,0.201
11,1,3.0,0.355
6,3,3.0,0.043
9,3,7.0,0.054
6,2,4.0,0.0
10,2,2.0,0.376
3,1,25.0,0.0
11,2,15.0,0.0
11,2,27.0,0.0
6,1,9.0,0.002
4,1,17.0,0.0
8,2,14.0,0.0
5,3,27.0,0.001
7,3,1.0,0.619
1,3,9.0,0.012
2,1,12.0,0.0
4,2,1.0,0.271
11,1,12.0,0.0
10,3,3.0,0.336
5,1,3.0,0.217
11,3,17.0,0.0
12,2,5.0,0.016
1,2,3.0,0.329
4,2,5.0,0.0
10,1,9.0,0.014
5,2,14.0,0.0
2,3,17.0,0.0
6,1,27.0,0.0
12,3,7.0,0.063
7,3,3.0,0.038
12,2,18.0,0.0
5,1,18.0,0.0
5,2,15.0,0.0
7,3,27.0,0.0
5,2,17.0,0.001
3,3,8.0,0.03
8,2,1.0,0.568
12,3,12.0,0.0
6,2,2.0,0.537
8,2,25.0,0.014
2,3,13.0,0.0
9,2,5.0,0.0
6,1,17.0,0.002
8,1,13.0,0.0
12,2,9.0,0.014
9,2,9.0,0.003
1,3,7.0,0.103
4,3,8.0,0.021
5,2,27.0,0.001
8,1,27.0,0.0
1,1,4.0,0.169
9,3,3.0,0.174
2,3,9.0,0.015
9,1,5.0,0.0
8,3,17.0,0.001
2,3,7.0,0.09
6,1,13.0,0.0
11,2,9.0,0.036
2,3,18.0,0.0
9,1,1.0,0.411
8,3,9.0,0.001
7,3,4.0,0.0
12,2,17.0,0.0
4,3,12.0,0.0
10,3,7.0,0.084
7,2,15.0,0.0
10,1,4.0,0.021
1,3,14.0,0.0
3,3,9.0,0.004
7,3,14.0,0.0
3,3,3.0,0.167
6,1,5.0,0.003
6,1,18.0,0.004
8,3,15.0,0.0
6,1,1.0,0.159
4,2,17.0,0.0
10,3,15.0,0.0
2,2,9.0,0.008
2,2,12.0,0.0
8,2,5.0,0.0
3,1,18.0,0.0
12,2,12.0,0.0
7,1,3.0,0.043
7,2,25.0,0.002
9,1,27.0,0.002
4,2,7.0,0.041
11,2,13.0,0.0
9,2,15.0,0.0
12,3,3.0,0.234
9,2,8.0,0.022
11,2,5.0,0.002
1,3,8.0,0.028
10,2,25.0,0.01
9,1,8.0,0.005
4,3,14.0,0.0
8,3,18.0,0.002
4,3,2.0,0.389
9,2,4.0,0.004
10,3,14.0,0.0
11,3,9.0,0.03
3,2,12.0,0.001
10,1,15.0,0.0
8,3,4.0,0.0
11,2,3.0,0.339
2,1,3.0,0.224
8,2,9.0,0.0
6,3,14.0,0.0
7,1,8.0,0.0
3,1,12.0,0.0
8,1,8.0,0.001
11,3,27.0,0.0
1,3,25.0,0.0
5,2,7.0,0.101
10,3,1.0,0.208
8,3,5.0,0.0
1,1,5.0,0.06
3,2,8.0,0.01
4,2,25.0,0.009
7,3,12.0,0.0
12,1,2.0,0.188
10,1,12.0,0.0
5,1,8.0,0.034
6,1,2.0,0.534
6,2,13.0,0.0
7,2,2.0,0.309
7,1,2.0,0.372
12,1,17.0,0.0
1,1,25.0,0.0
1,1,3.0,0.275
6,2,27.0,0.0
9,3,25.0,0.037
12,1,15.0,0.0
4,3,25.0,0.017
7,2,7.0,0.017
6,3,5.0,0.0
6,1,12.0,0.0
4,3,7.0,0.079
2,2,5.0,0.001
9,3,15.0,0.0
9,1,12.0,0.0
12,1,27.0,0.0
1,3,27.0,0.0
1,2,14.0,0.0
10,2,18.0,0.0
6,2,1.0,0.36
1,1,13.0,0.0
3,2,5.0,0.0
2,2,1.0,0.33
5,3,9.0,0.004
9,1,25.0,0.017
7,2,5.0,0.001
7,3,8.0,0.004
8,3,3.0,0.057
3,2,25.0,0.0
4,2,4.0,0.017
6,3,1.0,0.519
1,1,17.0,0.0
8,1,18.0,0.0
8,3,13.0,0.0
9,1,7.0,0.011
6,3,2.0,0.399
7,3,5.0,0.0
