m,coco,coco_pct
8,7.0,0.049
7,19.0,0.0
7,14.0,0.0
8,1.0,0.197
8,18.0,0.001
11,25.0,0.002
8,25.0,0.015
3,2.0,0.045
6,15.0,0.0
8,11.0,0.0
2,13.0,0.003
12,1.0,0.022
2,12.0,0.009
10,25.0,0.0
3,18.0,0.0
9,9.0,0.01
5,7.0,0.067
6,13.0,0.0
3,12.0,0.01
4,1.0,0.139
6,21.0,0.0
4,19.0,0.0
3,19.0,0.0
8,19.0,0.0
10,21.0,0.0
1,3.0,0.623
10,26.0,0.001
9,25.0,0.009
4,14.0,0.0
5,26.0,0.002
7,7.0,0.087
8,8.0,0.011
5,2.0,0.109
9,12.0,0.0
12,12.0,0.012
2,9.0,0.016
11,7.0,0.083
6,7.0,0.067
7,10.0,0.0
4,2.0,0.08
1,10.0,0.001
12,25.0,0.0
7,11.0,0.0
5,14.0,0.0
7,18.0,0.0
6,14.0,0.0
10,12.0,0.0
1,15.0,0.0
4,21.0,0.0
12,19.0,0.0
9,18.0,0.0
5,8.0,0.028
10,2.0,0.043
2,26.0,0.0
2,11.0,0.0
7,17.0,0.006
11,8.0,0.078
10,15.0,0.0
11,11.0,0.0
9,1.0,0.135
6,12.0,0.0
4,18.0,0.0
6,10.0,0.0
9,11.0,0.0
7,15.0,0.0
4,7.0,0.078
10,13.0,0.0
5,9.0,0.011
3,7.0,0.085
9,13.0,0.0
1,2.0,0.048
12,9.0,0.027
11,21.0,0.0
8,26.0,0.004
1,14.0,0.003
4,13.0,0.0
11,12.0,0.003
5,3.0,0.578
10,8.0,0.029
10,11.0,0.0
12,15.0,0.003
5,10.0,0.0
10,10.0,0.0
1,21.0,0.0
8,14.0,0.0
3,8.0,0.042
6,18.0,0.0
9,5.0,0.024
2,2.0,0.041
3,15.0,0.0
7,2.0,0.082
6,5.0,0.039
3,5.0,0.084
1,9.0,0.025
6,9.0,0.01
1,17.0,0.013
9,21.0,0.0
9,2.0,0.082
3,14.0,0.0
9,19.0,0.0
1,12.0,0.012
6,1.0,0.254
3,17.0,0.006
10,7.0,0.075
1,7.0,0.084
2,19.0,0.0
2,3.0,0.626
7,12.0,0.0
5,21.0,0.0
9,7.0,0.062
5,1.0,0.169
5,13.0,0.0
8,5.0,0.002
2,5.0,0.064
7,25.0,0.006
1,11.0,0.0
9,26.0,0.006
6,8.0,0.014
5,25.0,0.004
3,25.0,0.0
11,18.0,0.0
1,8.0,0.047
9,17.0,0.013
11,19.0,0.0
6,26.0,0.003
7,13.0,0.0
4,9.0,0.023
10,19.0,0.0
7,9.0,0.016
12,10.0,0.0
12,26.0,0.0
8,2.0,0.111
4,12.0,0.0
3,11.0,0.0
12,8.0,0.058
2,8.0,0.049
12,13.0,0.0
8,3.0,0.596
3,26.0,0.0
12,14.0,0.003
9,10.0,0.0
5,19.0,0.0
1,18.0,0.0
2,15.0,0.002
6,11.0,0.0
6,17.0,0.003
7,3.0,0.633
3,21.0,0.0
4,5.0,0.012
4,15.0,0.0
3,9.0,0.009
7,21.0,0.0
10,5.0,0.039
11,3.0,0.635
8,13.0,0.0
7,8.0,0.041
3,3.0,0.639
5,15.0,0.0
4,3.0,0.626
9,3.0,0.62
2,14.0,0.004
5,12.0,0.0
9,14.0,0.0
10,1.0,0.048
5,18.0,0.001
3,1.0,0.08
11,9.0,0.034
2,10.0,0.013
4,25.0,0.0
9,15.0,0.0
1,1.0,0.066
12,21.0,0.0
11,17.0,0.017
8,21.0,0.0
2,17.0,0.008
5,17.0,0.0
3,10.0,0.0
10,14.0,0.0
1,25.0,0.0
4,26.0,0.0
4,11.0,0.0
12,17.0,0.011
11,2.0,0.031
1,5.0,0.077
8,10.0,0.0
2,18.0,0.0
10,17.0,0.009
7,26.0,0.002
12,11.0,0.0
6,25.0,0.002
10,3.0,0.727
11,5.0,0.082
11,1.0,0.03
5,11.0,0.0
6,3.0,0.497
1,13.0,0.0
3,13.0,0.0
6,2.0,0.112
2,1.0,0.067
2,25.0,0.0
8,12.0,0.0
1,26.0,0.0
9,8.0,0.04
5,5.0,0.03
4,17.0,0.005
8,9.0,0.01
11,13.0,0.001
4,8.0,0.037
12,3.0,0.634
11,10.0,0.0
11,26.0,0.002
12,7.0,0.084
7,1.0,0.113
11,15.0,0.0
6,19.0,0.0
12,2.0,0.02
10,9.0,0.029
7,5.0,0.013
8,17.0,0.005
8,15.0,0.0
10,18.0,0.001
2,7.0,0.096
12,18.0,0.0
11,14.0,0.0
1,19.0,0.0
2,21.0,0.001
12,5.0,0.126
4,10.0,0.0
